iter	Passed	Remaining
948	465387	25010
949	465832	24517
950	466269	24024
951	466741	23533
952	467267	23044
953	467723	22552
954	468209	22062
955	468766	21575
956	469234	21083
957	469686	20591
958	470180	20101
959	470633	19609
960	471110	19118
961	471644	18630
962	472062	18137
963	472522	17646
964	473032	17156
965	473486	16665
966	474007	16176
967	474460	15684
968	474974	15195
969	475417	14703
970	475862	14212
971	476362	13722
972	476797	13230
973	477236	12739
974	477711	12249
975	478145	11757
976	478606	11267
977	479033	10775
978	479497	10285
979	479929	9794
980	480358	9303
981	480793	8812
982	481291	8323
983	481699	7832
984	482170	7342
985	482694	6853
986	483144	6363
987	483608	5873
988	484105	5384
989	484543	4894
990	485064	4405
991	485556	3915
992	486042	3426
993	486519	2936
994	487161	2448
995	487709	1958
996	488277	1469
997	488805	979
998	489332	489
999	489863	0
