iter	Passed	Remaining
688	15984	7215
689	15999	7188
690	16016	7162
691	16035	7137
692	16050	7110
693	16067	7084
694	16082	7057
695	16099	7031
696	16117	7006
697	16147	6986
698	16166	6961
699	16180	6934
700	16194	6907
701	16208	6880
702	16223	6853
703	16238	6827
704	16252	6800
705	16266	6773
706	16278	6746
707	16288	6717
708	16305	6692
709	16319	6665
710	16333	6639
711	16347	6612
712	16363	6586
713	16376	6559
714	16388	6532
715	16399	6504
716	16416	6479
717	16427	6451
718	16441	6425
719	16456	6399
720	16471	6373
721	16487	6348
722	16503	6323
723	16518	6297
724	16533	6271
725	16556	6248
726	16583	6227
727	16653	6222
728	16701	6208
729	16748	6194
730	16760	6167
731	16773	6141
732	16787	6114
733	16801	6088
734	16815	6062
735	16827	6036
736	16838	6008
737	16851	5982
738	16873	5959
739	16887	5933
740	16906	5909
741	16924	5884
742	16940	5859
743	16958	5835
744	16984	5813
745	17115	5827
746	17217	5831
747	17277	5820
748	17330	5807
749	17348	5782
750	17380	5762
751	17398	5737
752	17418	5713
753	17441	5690
754	17462	5666
755	17512	5652
756	17659	5668
757	17715	5655
758	17727	5628
759	17758	5607
760	17786	5586
761	17805	5561
762	17823	5536
763	17846	5512
764	17858	5485
765	17870	5459
766	17885	5433
767	17900	5407
768	17915	5381
769	17930	5356
770	17945	5330
771	17959	5304
772	17972	5277
773	17983	5251
774	18006	5227
775	18024	5202
776	18038	5177
777	18054	5151
778	18069	5126
779	18084	5100
780	18099	5075
781	18109	5048
782	18121	5022
783	18136	4996
784	18153	4972
785	18167	4946
786	18183	4921
787	18198	4896
788	18212	4870
789	18228	4845
790	18243	4820
791	18262	4796
792	18280	4771
793	18294	4746
794	18308	4721
795	18322	4695
796	18333	4669
797	18344	4643
798	18358	4618
799	18374	4593
800	18389	4568
801	18406	4544
802	18423	4519
803	18441	4495
804	18464	4472
805	18478	4447
806	18488	4421
807	18503	4396
808	18520	4372
809	18537	4348
810	18550	4323
811	18566	4298
812	18581	4274
813	18597	4249
814	18612	4224
815	18625	4199
816	18636	4174
817	18647	4148
818	18663	4124
819	18678	4100
820	18692	4075
821	18707	4050
822	18721	4026
823	18736	4002
824	18747	3976
825	18757	3951
826	18775	3927
827	18793	3903
828	18817	3881
829	18833	3857
830	18849	3833
831	18867	3809
832	18881	3785
833	18900	3761
834	18918	3738
835	18934	3714
836	18948	3690
837	18959	3665
838	18968	3640
839	18978	3614
840	18992	3590
841	19009	3567
842	19026	3543
843	19044	3520
844	19059	3496
845	19074	3472
846	19090	3448
847	19105	3424
848	19119	3400
849	19131	3376
850	19141	3351
851	19156	3327
852	19171	3303
853	19186	3280
854	19203	3256
855	19219	3233
856	19234	3209
857	19248	3185
858	19267	3162
859	19285	3139
860	19299	3115
861	19314	3092
862	19329	3068
863	19343	3044
864	19362	3021
865	19380	2998
866	19398	2975
867	19423	2953
868	19437	2930
869	19446	2905
870	19462	2882
871	19475	2858
872	19490	2835
873	19504	2811
874	19520	2788
875	19536	2765
876	19555	2742
877	19570	2719
878	19587	2696
879	19605	2673
880	19621	2650
881	19636	2627
882	19651	2603
883	19667	2580
884	19728	2563
885	19756	2542
886	19789	2521
887	19801	2497
888	19814	2473
889	19831	2451
890	19846	2427
891	19862	2404
892	19875	2381
893	19885	2357
894	19901	2334
895	19915	2311
896	19930	2288
897	19945	2265
898	19960	2242
899	19982	2220
900	20001	2197
901	20014	2174
902	20033	2151
903	20050	2129
904	20068	2106
905	20084	2083
906	20101	2061
907	20121	2038
908	20141	2016
909	20161	1993
910	20180	1971
911	20198	1949
912	20215	1926
913	20236	1904
914	20257	1881
915	20277	1859
916	20289	1836
917	20323	1815
918	20340	1792
919	20353	1769
920	20378	1748
